Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
MSFT,640,641,3828,33.02,33.55,126390.30,128418.97,2028.670577
MSFT,643,651,4028,31.88,33.03,128418.97,133051.39,4632.426856
MSFT,658,659,4100,32.45,32.51,133051.39,133297.40,246.0018082
MSFT,719,720,3677,36.25,36.8,133297.40,135319.84,2022.440455
MSFT,721,722,3695,36.62,37.08,135319.84,137019.66,1699.823027
MSFT,728,747,3712,36.91,37.84,137019.66,140472.07,3452.406566
MSFT,748,754,3851,36.48,37.17,140472.07,143129.02,2656.949956
MSFT,812,814,3664,39.06,39.64,143129.02,145254.33,2125.308317
MSFT,819,820,3668,39.6,39.83,145254.33,146097.99,843.6612035
MSFT,821,823,3675,39.75,40.35,146097.99,148303.23,2205.247014
MSFT,922,932,3368,44.03,46.13,148303.23,155376.53,7073.294071
MSFT,967,970,3329,46.67,47.52,155376.53,158206.41,2829.87806
MSFT,977,1052,3365,47.02,42.91,158206.41,144377.64,-13828.76258
MSFT,1091,1094,3175,45.48,46.72,144377.64,148314.07,3936.42307
MSFT,1095,1113,3217,46.1,46.66,148314.07,150115.72,1801.650398
MSFT,1117,1122,3296,45.54,46.29,150115.72,152587.98,2472.261417
MSFT,1138,1168,3342,45.66,45.57,152587.98,152287.21,-300.7652502
MSFT,1233,1249,2818,54.05,55.09,152287.21,155217.44,2930.228355
MSFT,1251,1271,2929,53,52.95,155217.44,155071.01,-146.4293136
MSFT,1272,1276,2962,52.35,52.84,155071.01,156522.49,1451.481531
MSFT,1277,1278,3007,52.05,53.07,156522.49,159589.79,3067.300997
MSFT,1307,1333,3082,51.78,53,159589.79,163349.93,3760.134185
MSFT,1335,1350,3113,52.48,51.91,163349.93,161575.74,-1774.188454
MSFT,1351,1355,3243,49.83,51.17,161575.74,165920.73,4344.990801
MSFT,1407,1408,2949,56.26,57.19,165920.73,168663.47,2742.73613
MSFT,1411,1412,2969,56.81,57.76,168663.47,171483.92,2820.450181
MSFT,1415,1416,3014,56.9,57.95,171483.92,174648.38,3164.463569
MSFT,1421,1422,3051,57.24,57.64,174648.38,175868.84,1220.456855
MSFT,1426,1431,3075,57.19,57.66,175868.84,177314.17,1445.332579
MSFT,1433,1434,3097,57.25,59.66,177314.17,184778.40,7464.229211
MSFT,1450,1451,3179,58.12,58.87,184778.40,187162.84,2384.442565
MSFT,1604,1605,2704,69.21,69.8,187162.84,188758.37,1595.532735
MSFT,1606,1612,2756,68.49,69.98,188758.37,192864.83,4106.45384
MSFT,1666,1668,2633,73.26,73.85,192864.83,194418.06,1553.228761
MSFT,1760,1761,2287,85.01,88.18,194418.06,201667.85,7249.792603
MSFT,1789,1791,2246,89.79,93.78,201667.85,210629.36,8961.513318
MSFT,1792,1797,2354,89.47,92.33,210629.36,217362.35,6732.984221
MSFT,1799,1801,2409,90.23,92.88,217362.35,223746.13,6383.784459
MSFT,1802,1803,2436,91.86,93.58,223746.13,227935.59,4189.458055
MSFT,1812,1813,2469,92.31,94.26,227935.59,232750.62,4815.030386
MSFT,1856,1857,2386,97.54,98.63,232750.62,235351.58,2600.956747
MSFT,1929,1933,2217,106.16,111,235351.58,246081.61,10730.03702
MSFT,1934,1949,2223,110.71,111.96,246081.61,248860.06,2778.448377
MSFT,1951,1963,2271,109.57,111.12,248860.06,252380.50,3520.433119
MSFT,1967,1968,2326,108.52,109.19,252380.50,253938.70,1558.204943
MSFT,1969,1971,2423,104.82,108.59,253938.70,263071.96,9133.257491
MSFT,1974,1995,2481,106.03,105.38,263071.96,261459.23,-1612.724473
MSFT,2003,2004,2540,102.94,106.38,261459.23,270196.54,8737.30702
MSFT,2005,2007,2587,104.43,105.74,270196.54,273585.96,3389.416902
MSFT,2089,2091,2283,119.84,125.83,273585.96,287260.70,13674.74496
MSFT,2133,2134,2173,132.21,134.69,287260.70,292649.14,5388.437167
MSFT,2140,2143,2184,133.98,138.41,292649.14,302325.49,9676.355057
MSFT,2147,2151,2266,133.39,138.12,302325.49,313045.93,10720.43109
MSFT,2153,2154,2301,136.04,137.63,313045.93,316704.75,3658.825907
MSFT,2158,2160,2327,136.08,137.52,316704.75,320056.13,3351.378667
MSFT,2161,2163,2331,137.32,137.39,320056.13,320219.26,163.1327439
MSFT,2168,2169,2331,137.38,139.36,320219.26,324834.44,4615.175059
MSFT,2173,2176,2370,137.07,138.12,324834.44,327322.74,2488.306531
MSFT,2177,2179,2387,137.12,138.24,327322.74,329996.35,2673.606206
MSFT,2186,2187,2402,137.41,138.43,329996.35,332445.90,2449.549837
MSFT,2188,2190,2438,136.37,139.94,332445.90,341148.95,8703.045698
MSFT,2275,2277,2157,158.18,172.79,341148.95,372658.53,31509.58744
MSFT,2278,2279,2265,164.51,170.55,372658.53,386340.75,13682.21264
MSFT,2280,2302,2324,166.27,165.27,386340.75,384017.17,-2323.574525
MSFT,2303,2304,2349,163.49,165.13,384017.17,387869.32,3852.149403
MSFT,2409,2426,1914,202.66,212.46,387869.32,406625.47,18756.14557
MSFT,2427,2432,1972,206.19,215.81,406625.47,425596.97,18971.50666
MSFT,2443,2444,2026,210.08,213.25,425596.97,432019.01,6422.037387
MSFT,2445,2450,2132,202.68,216.39,432019.01,461242.34,29223.32618
MSFT,2454,2455,2186,211.01,216.55,461242.34,473352.13,12109.78889
MSFT,2460,2461,2243,211.08,212.42,473352.13,476357.10,3004.974936
MSFT,2462,2464,2264,210.39,213.86,476357.10,484213.75,7856.645875
